Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Year
"Sat, Aug 20, 2022",Phoenix Mercury,80,Las Vegas Aces,117,2022
"Sun, Aug 21, 2022",Dallas Wings,89,Connecticut Sun,79,2022
"Sun, Aug 21, 2022",Washington Mystics,84,Seattle Storm,97,2022
"Tue, Aug 23, 2022",Chicago Sky,90,New York Liberty,72,2022
"Wed, Aug 24, 2022",Connecticut Sun,73,Dallas Wings,58,2022
"Sun, Aug 28, 2022",Connecticut Sun,68,Chicago Sky,63,2022
"Sun, Aug 28, 2022",Seattle Storm,76,Las Vegas Aces,73,2022
"Wed, Aug 31, 2022",Connecticut Sun,77,Chicago Sky,85,2022
"Wed, Aug 31, 2022",Seattle Storm,73,Las Vegas Aces,78,2022
"Sun, Sep 4, 2022",Chicago Sky,76,Connecticut Sun,72,2022
"Sun, Sep 4, 2022",Las Vegas Aces,110,Seattle Storm,98,2022
"Tue, Sep 6, 2022",Chicago Sky,80,Connecticut Sun,104,2022
"Tue, Sep 6, 2022",Las Vegas Aces,97,Seattle Storm,92,2022
"Thu, Sep 8, 2022",Connecticut Sun,72,Chicago Sky,63,2022
"Sun, Sep 11, 2022",Connecticut Sun,64,Las Vegas Aces,67,2022
"Tue, Sep 13, 2022",Connecticut Sun,71,Las Vegas Aces,85,2022
"Thu, Sep 15, 2022",Las Vegas Aces,76,Connecticut Sun,105,2022
"Sun, Sep 18, 2022",Las Vegas Aces,78,Connecticut Sun,71,2022
"Fri, May 19, 2023",Phoenix Mercury,71,Los Angeles Sparks,94,2023
"Fri, May 19, 2023",Chicago Sky,77,Minnesota Lynx,66,2023
"Fri, May 19, 2023",New York Liberty,64,Washington Mystics,80,2023
"Sat, May 20, 2023",Atlanta Dream,78,Dallas Wings,85,2023
"Sat, May 20, 2023",Las Vegas Aces,105,Seattle Storm,64,2023
"Sun, May 21, 2023",Washington Mystics,74,Connecticut Sun,80,2023
"Sun, May 21, 2023",Indiana Fever,73,New York Liberty,90,2023
"Sun, May 21, 2023",Chicago Sky,75,Phoenix Mercury,69,2023
"Tue, May 23, 2023",Atlanta Dream,83,Minnesota Lynx,77,2023
"Tue, May 23, 2023",Connecticut Sun,88,Washington Mystics,81,2023
"Thu, May 25, 2023",Las Vegas Aces,94,Los Angeles Sparks,85,2023
"Thu, May 25, 2023",Minnesota Lynx,81,Phoenix Mercury,90,2023
"Fri, May 26, 2023",Washington Mystics,71,Chicago Sky,69,2023
"Fri, May 26, 2023",Dallas Wings,95,Seattle Storm,91,2023
"Sat, May 27, 2023",Los Angeles Sparks,65,Las Vegas Aces,93,2023
"Sat, May 27, 2023",Connecticut Sun,65,New York Liberty,81,2023
"Sun, May 28, 2023",Indiana Fever,90,Atlanta Dream,87,2023
"Sun, May 28, 2023",Dallas Wings,88,Chicago Sky,94,2023
"Sun, May 28, 2023",Minnesota Lynx,73,Las Vegas Aces,94,2023
"Tue, May 30, 2023",Chicago Sky,65,Atlanta Dream,83,2023
"Tue, May 30, 2023",Indiana Fever,78,Connecticut Sun,81,2023
"Tue, May 30, 2023",Minnesota Lynx,89,Dallas Wings,94,2023
"Tue, May 30, 2023",New York Liberty,86,Seattle Storm,78,2023
"Thu, Jun 1, 2023",Connecticut Sun,89,Minnesota Lynx,84,2023
"Fri, Jun 2, 2023",Las Vegas Aces,92,Atlanta Dream,87,2023
"Fri, Jun 2, 2023",New York Liberty,77,Chicago Sky,76,2023
"Fri, Jun 2, 2023",Los Angeles Sparks,99,Phoenix Mercury,93,2023
"Fri, Jun 2, 2023",Dallas Wings,74,Washington Mystics,75,2023
"Sat, Jun 3, 2023",Seattle Storm,85,Los Angeles Sparks,92,2023
"Sat, Jun 3, 2023",Minnesota Lynx,80,Washington Mystics,78,2023
"Sun, Jun 4, 2023",Dallas Wings,74,Connecticut Sun,80,2023
"Sun, Jun 4, 2023",Las Vegas Aces,84,Indiana Fever,80,2023
"Sun, Jun 4, 2023",Chicago Sky,86,New York Liberty,82,2023
"Tue, Jun 6, 2023",Indiana Fever,103,Chicago Sky,108,2023
"Tue, Jun 6, 2023",Las Vegas Aces,90,Connecticut Sun,84,2023
"Tue, Jun 6, 2023",Los Angeles Sparks,63,Seattle Storm,66,2023
"Wed, Jun 7, 2023",Phoenix Mercury,79,Dallas Wings,84,2023
"Thu, Jun 8, 2023",Las Vegas Aces,77,Connecticut Sun,94,2023
"Fri, Jun 9, 2023",New York Liberty,106,Atlanta Dream,83,2023
"Fri, Jun 9, 2023",Phoenix Mercury,77,Dallas Wings,90,2023
"Fri, Jun 9, 2023",Chicago Sky,62,Los Angeles Sparks,77,2023
"Fri, Jun 9, 2023",Indiana Fever,71,Minnesota Lynx,69,2023
"Fri, Jun 9, 2023",Washington Mystics,73,Seattle Storm,66,2023
"Sun, Jun 11, 2023",Connecticut Sun,89,Atlanta Dream,77,2023
"Sun, Jun 11, 2023",Phoenix Mercury,85,Indiana Fever,82,2023
"Sun, Jun 11, 2023",Chicago Sky,80,Las Vegas Aces,93,2023
"Sun, Jun 11, 2023",Los Angeles Sparks,86,Minnesota Lynx,91,2023
"Sun, Jun 11, 2023",Dallas Wings,93,New York Liberty,102,2023
"Sun, Jun 11, 2023",Washington Mystics,71,Seattle Storm,65,2023
"Tue, Jun 13, 2023",Washington Mystics,66,Indiana Fever,87,2023
"Tue, Jun 13, 2023",Atlanta Dream,86,New York Liberty,79,2023
"Tue, Jun 13, 2023",Seattle Storm,83,Phoenix Mercury,69,2023
"Wed, Jun 14, 2023",Los Angeles Sparks,79,Dallas Wings,61,2023
"Thu, Jun 15, 2023",Indiana Fever,92,Chicago Sky,90,2023
"Thu, Jun 15, 2023",Atlanta Dream,92,Connecticut Sun,88,2023
"Thu, Jun 15, 2023",Seattle Storm,63,Las Vegas Aces,96,2023
"Fri, Jun 16, 2023",Minnesota Lynx,77,Los Angeles Sparks,72,2023
"Fri, Jun 16, 2023",Phoenix Mercury,69,Washington Mystics,88,2023
"Sat, Jun 17, 2023",Seattle Storm,109,Dallas Wings,103,2023
"Sun, Jun 18, 2023",Atlanta Dream,100,Indiana Fever,94,2023
"Sun, Jun 18, 2023",Connecticut Sun,83,Los Angeles Sparks,74,2023
"Sun, Jun 18, 2023",Minnesota Lynx,62,Las Vegas Aces,93,2023
"Sun, Jun 18, 2023",Phoenix Mercury,71,New York Liberty,89,2023
"Sun, Jun 18, 2023",Chicago Sky,69,Washington Mystics,77,2023
"Tue, Jun 20, 2023",Atlanta Dream,73,Dallas Wings,85,2023
"Tue, Jun 20, 2023",Minnesota Lynx,67,Los Angeles Sparks,61,2023
"Tue, Jun 20, 2023",Connecticut Sun,85,Seattle Storm,79,2023
"Wed, Jun 21, 2023",Las Vegas Aces,99,Phoenix Mercury,79,2023
"Thu, Jun 22, 2023",Washington Mystics,80,Chicago Sky,59,2023
"Thu, Jun 22, 2023",Connecticut Sun,89,Minnesota Lynx,68,2023
"Thu, Jun 22, 2023",Indiana Fever,80,Seattle Storm,68,2023
